,index,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force
51,118,1,3.0050420168067227,83.0,196.8,221.2,2001.7804232804233,4.5
52,120,1,1.0,45.51390243902439,33.0,114.6054131054131,656.2,
53,122,0,8.0,49.7,101.7,114.6054131054131,2723.1,
54,123,1,3.0050420168067227,46.0,84.0,114.6054131054131,3127.0,
55,125,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
56,126,1,2.0,45.51390243902439,70.0,114.6054131054131,1250.0,
57,130,1,3.0050420168067227,55.0,70.0,90.0,3250.0,
58,132,1,3.0050420168067227,52.8,110.0,80.0,4000.0,
59,136,1,2.0,56.0,59.1,114.6054131054131,2822.0,
60,144,1,3.0050420168067227,55.9,118.1,114.6054131054131,3510.5,
61,146,1,2.0,55.0,100.0,90.0,2900.0,
62,148,0,3.0,47.0,116.5,114.6054131054131,935.0,5.2
63,151,1,3.0050420168067227,70.0,180.0,114.6054131054131,704.0,
64,156,1,1.0,62.0,150.0,114.6054131054131,863.0,
65,162,1,3.0,78.3,226.4,114.6054131054131,3444.9,
66,163,1,1.0,45.0,72.0,114.6054131054131,1404.0,
67,165,1,3.0050420168067227,46.6,72.2,114.6054131054131,2198.1,3.8
68,168,1,3.0,47.0,116.5,114.6054131054131,935.0,5.2
69,171,0,2.0,38.0,65.6,114.6054131054131,1148.3,4.0
70,175,1,4.0,62.1,124.0,114.6054131054131,3464.0,3.8
71,176,1,2.0,45.51390243902439,68.9,114.6054131054131,1640.4,
72,177,1,3.0,43.5,72.2,114.6054131054131,1184.4,4.5
73,179,1,2.0,50.0,90.0,114.6054131054131,2040.0,
74,180,1,4.0,62.0,170.0,111.0,3602.0,
75,181,1,3.0,45.51390243902439,78.8,114.6054131054131,1633.8,
76,182,0,1.0,35.0,50.7,114.6054131054131,1830.7,5.0
77,185,1,3.0050420168067227,35.0,35.0,114.6054131054131,1385.0,
78,186,1,3.0050420168067227,75.0,200.0,114.6054131054131,3600.0,
79,187,1,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
80,188,1,7.0,62.1,164.1,114.6054131054131,3608.9,
81,189,1,3.0,47.0,116.5,114.6054131054131,935.0,5.2
82,190,1,3.0050420168067227,16.2,10.8,114.6054131054131,197.5,
83,195,1,1.0,45.51390243902439,59.0,114.6054131054131,1286.1,
84,199,0,3.0050420168067227,28.0,49.3,114.6054131054131,1213.9,
85,201,1,1.0,45.51390243902439,36.1,114.6054131054131,1197.5,
86,202,1,3.0050420168067227,22.4,26.3,114.6054131054131,1181.1,
87,206,1,1.0,53.0,137.8,114.6054131054131,722.0,
88,207,1,3.0,47.0,116.5,114.6054131054131,935.0,5.2
89,209,1,7.0,67.0,110.0,104.9,3700.0,4.0
90,212,1,3.0050420168067227,44.7,23.0,114.6054131054131,1984.9,
91,216,1,3.0050420168067227,24.2,29.5,114.6054131054131,728.3,
92,218,1,4.0,49.7,108.3,95.2,2624.7,
93,219,1,1.0,31.7,87.93446200150488,114.6054131054131,1049.8,
94,222,1,3.0050420168067227,29.1,42.7,114.6054131054131,1377.9,2.5
95,224,1,5.0,50.0,105.0,114.6054131054131,2693.0,
96,227,1,3.0050420168067227,45.51390243902439,13.0,114.6054131054131,262.5,
97,228,1,3.0050420168067227,43.6,87.93446200150488,72.2,2608.3,
98,229,1,3.0050420168067227,54.0,57.0,114.6054131054131,2109.6,
99,230,0,5.0,49.7,109.3,114.6054131054131,2260.5,
100,234,1,2.0,55.9,98.4,123.0,1643.7,
101,235,0,4.0,70.0,155.0,80.0,2757.0,
102,243,0,5.0,44.7,101.7,114.6054131054131,2582.0,5.0
