,Name,Park,Location,Status,Inversions,Speed /mph,Height /ft,Drop /ft,Length /ft,G-Force,Layout,Manufacturer
80,Flying Dragon,Natural Park,"Anci, Langfang, Hebei, China",Operating,,,,,,,Twin Helix,
81,Big Air,E-DA Theme Park,"Dashu Township, Kaohsiung, Taiwan",Operating,,67.1,209.3,,541.3,3.5,,Vekoma
82,Torbellino,Parque de la Costa,"Tigre, Buenos Aires, Argentina",Operating,,,,,1115.5,,Wild Mouse,"Beijing Jiuhua Amusement Rides Manufacturing Co., Ltd."
83,Thunderbolt,Celebration City,"Branson, Missouri, United States",Defunct,,,60.0,,,,,S&MC
84,Flight Deck,Canada's Wonderland,"Vaughan, Ontario, Canada",Operating,5.0,49.7,109.3,,2260.5,,,Vekoma
85,Self-Spinning Pulley,Chuanlord Holiday Manor,"Shunde, Foshan, Guangdong, China",Operating,,,,,,,Wild Mouse,Golden Horse
86,unknown,Landora Temalı Park,"Istanbul, Istanbul, Turkey",SBNO,,,,,,,,Vekoma
87,Déjà Vu,Six Flags Great America,"Gurnee, Illinois, United States",Defunct,3.0,65.6,191.6,177.0,1204.0,4.5,,Vekoma
88,Spinning Coaster,Window of the World,"Kaifu, Changsha, Hunan, China",Operating,,,,,1115.5,,Wild Mouse,"Beijing Jiuhua Amusement Rides Manufacturing Co., Ltd."
89,Mouse Coaster,Riverview Park & Waterworld,"Wisconsin Dells, Wisconsin, United States",Defunct,,,,,,,Big Apple / Wacky Worm,D.P.V. Rides
90,Roller Coaster,Al-Sha'ab Leisure Park,"Salmiya, Hawalli, Kuwait",SBNO,2.0,,,,,,,Arrow Dynamics
91,Souris Verte,Parc Saint Paul,"Saint-Paul, Hauts-de-France, France",Operating,,29.1,42.7,,1377.9,2.5,Wild Mouse,Zamperla
92,Circus Coaster,Luna Park,"Brooklyn, New York, United States",Operating,,18.6,29.5,,574.2,,,Zamperla
93,Esplorabruco,Rainbow MagicLand,"Valmontone, Lazio, Italy",Operating,,,,,,,Big Apple / Wacky Worm,
94,Demon,Six Flags Great America,"Gurnee, Illinois, United States",Operating,4.0,50.0,103.7,90.0,2130.0,,,Arrow Dynamics
95,Katun,Mirabilandia,"Savio, Emilia-Romagna, Italy",Operating,6.0,64.6,164.1,147.7,3937.0,4.0,,Bolliger & Mabillard
96,Çuf Çuf,MOİ Park,"Istanbul, Istanbul, Turkey",Operating,,,,,,,,SBF Visa Group
97,Flare Meteor,Fantawild Adventure,"Jinghu, Wuhu, Anhui, China",Operating,4.0,49.7,124.0,,,,,Golden Horse
98,Indiana Jones et le Temple du Péril,Disneyland Paris - Disneyland Park,"Marne la Vallée, Île-de-France, France",Operating,1.0,,,,1968.5,,,Intamin Amusement Rides
99,Blue Tornado,Gardaland,"Castelnuovo del Garda, Veneto, Italy",Operating,5.0,49.7,109.3,,2510.0,,,Vekoma
